,city,price
912,winchester,50000
913,winchester,7500
914,winchester,39900
915,winchester,5850
916,winchester,3500
917,winchester,75000
918,winchester,13000
919,winchester,13995
920,winchester,9000
921,winchester,100
922,winchester,275
923,winchester,40
924,winchester,15000
925,winchester,6900
926,winchester,1100
927,winchester,240
928,winchester,160
929,winchester,7500
930,winchester,3901
931,winchester,23500
932,winchester,20500
933,winchester,500
934,winchester,150
935,winchester,3659
936,winchester,13000
937,winchester,22000
938,winchester,275
939,winchester,350
940,winchester,75
941,winchester,3650
942,winchester,4500
943,winchester,29900
944,winchester,9500
945,winchester,1
946,winchester,13000
947,winchester,12500
948,winchester,8500
949,winchester,125
950,winchester,9500
951,winchester,12500
952,winchester,275
953,winchester,7500
954,winchester,19500
955,winchester,6995
956,winchester,47500
957,winchester,2500
958,winchester,18999
959,winchester,13988
960,winchester,16000
961,winchester,16000
962,winchester,1
963,winchester,1200
964,winchester,3000
965,winchester,35999
966,winchester,10000
967,winchester,4999
968,winchester,2300
